City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Name,Landfill Capacity (Tons),Year,Landfill_Lat,Landfill_Long,Waste_Per_Capita_kg,Landfill_Utilization_Ratio,Cost_Per_Campaign,Year_Category,Efficiency_PopDensity_Interaction,Campaign_Efficiency_Interaction,Log_Waste_Per_Capita_kg,Log_Landfill_Utilization_Ratio,Log_Cost_Per_Campaign,City_FreqEnc
Mumbai,Construction,5862,48,11191,7,Landfill,2867,19,Mumbai Landfill,45575,2022,22.4265,77.4931,523.813778929497,0.1286231486560614,150.89473684210526,2021_and_after,78337,133,6.263043492867328,0.1209984372906877,5.023187760167375,0.029411764705882353
Mumbai,Hazardous,4856,74,11191,10,Landfill,826,1,Mumbai Landfill,45575,2022,22.4265,77.4931,433.9201143776249,0.1065496434448711,826.0,2021_and_after,111910,10,6.075162369114948,0.10124674479389327,6.717804695023691,0.029411764705882353
Mumbai,Plastic,6569,48,11191,5,Landfill,4287,16,Mumbai Landfill,45575,2023,22.4265,77.4931,586.989545170226,0.1441360394953373,267.9375,2021_and_after,55955,80,6.37670916741781,0.13464980153047895,5.5944790105988185,0.029411764705882353
Mumbai,Organic,7809,35,11191,8,Recycling,3128,7,Mumbai Landfill,45575,2023,22.4265,77.4931,697.792869269949,0.1713439385628085,446.8571428571428,2021_and_after,89528,56,6.549354373957621,0.15815175503657866,6.104474304011708,0.029411764705882353
Mumbai,E-Waste,7232,82,11191,6,Landfill,1565,9,Mumbai Landfill,45575,2023,22.4265,77.4931,646.2335805558038,0.1586834887547998,173.88888888888889,2021_and_after,67146,54,6.4727072503003,0.14728443711767572,5.164150851641129,0.029411764705882353
Mumbai,Construction,4039,54,11191,9,Recycling,1252,12,Mumbai Landfill,45575,2023,22.4265,77.4931,360.9150209990171,0.0886231486560614,104.33333333333331,2021_and_after,100719,108,5.8914094356465005,0.08491373140335788,4.657129924918802,0.029411764705882353
Mumbai,Hazardous,7077,70,11191,9,Incineration,2850,5,Mumbai Landfill,45575,2023,22.4265,77.4931,632.3831650433384,0.1552825013713658,570.0,2021_and_after,100719,45,6.45107555503856,0.14434490399843447,6.3473892096560105,0.029411764705882353
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,Delhi Landfill,74509,2019,30.2591,91.9376,73.80356149137451,0.0142398904830288,4240.0,Before_2021,71880,5,4.314865497367993,0.014139455574368057,8.352554369474591,0.029411764705882353
Delhi,Organic,2224,84,14376,10,Landfill,3219,4,Delhi Landfill,74509,2019,30.2591,91.9376,154.7022815804118,0.0298487431048598,804.75,Before_2021,143760,40,5.047945732428232,0.029411940103323445,6.6917735206955475,0.029411764705882353
Delhi,E-Waste,2395,43,14376,5,Composting,2005,1,Delhi Landfill,74509,2019,30.2591,91.9376,166.5971062882582,0.032143767866969,2005.0,Before_2021,71880,5,5.1215629223157455,0.03163796730525459,7.603897968521881,0.029411764705882353
Delhi,Construction,1887,80,14376,7,Incineration,4307,4,Delhi Landfill,74509,2019,30.2591,91.9376,131.26043405676126,0.0253257995678374,1076.75,Before_2021,100632,28,4.884772964085689,0.025010415322647687,6.982630813627244,0.029411764705882353
Delhi,Hazardous,4158,48,14376,5,Composting,4183,6,Delhi Landfill,74509,2019,30.2591,91.9376,289.2320534223706,0.0558053389523413,697.1666666666666,Before_2021,71880,30,5.670680787218884,0.0543038301783983,6.54845785171898,0.029411764705882353
Delhi,Plastic,763,75,14376,5,Recycling,1337,20,Delhi Landfill,74509,2020,30.2591,91.9376,53.07456872565387,0.0102403736461367,66.85,Before_2021,71880,100,3.990363996322415,0.010188296246204147,4.217299386280878,0.029411764705882353
Delhi,Organic,7143,69,14376,9,Landfill,682,16,Delhi Landfill,74509,2020,30.2591,91.9376,496.8697829716194,0.0958676133084593,42.625,Before_2021,129384,144,6.210338562856135,0.09154639045307719,3.7756303805225913,0.029411764705882353
Delhi,E-Waste,7516,84,14376,5,Composting,620,18,Delhi Landfill,74509,2020,30.2591,91.9376,522.8158041179744,0.1008737199532942,34.44444444444444,Before_2021,71880,90,6.261140103664978,0.09610415538890493,3.5679665254486252,0.029411764705882353
Delhi,Construction,3125,77,14376,8,Recycling,4345,5,Delhi Landfill,74509,2020,30.2591,91.9376,217.37618252643296,0.041941241997611,869.0,Before_2021,115008,40,5.386219183557741,0.04108555210361038,6.76849321164863,0.029411764705882353
Delhi,Hazardous,6574,84,14376,8,Incineration,913,20,Delhi Landfill,74509,2020,30.2591,91.9376,457.2899276572065,0.0882309519655343,45.65,Before_2021,115008,160,6.127502013654555,0.08455339793437741,3.8426729272933526,0.029411764705882353
Delhi,Plastic,3407,82,14376,10,Composting,2802,4,Delhi Landfill,74509,2021,30.2591,91.9376,236.99220923761823,0.0457260196754754,700.5,2021_and_after,143760,40,5.4722379388399744,0.0447113998560896,6.553220899542516,0.029411764705882353
Delhi,Organic,9617,36,14376,6,Recycling,2676,5,Delhi Landfill,74509,2021,30.2591,91.9376,668.9621591541458,0.129071655773128,535.2,2021_and_after,86256,30,6.507221231915611,0.12139575150878909,6.284507225801859,0.029411764705882353
Delhi,E-Waste,1426,38,14376,5,Composting,1674,2,Delhi Landfill,74509,2021,30.2591,91.9376,99.19309961046189,0.0191386275483498,837.0,2021_and_after,71880,10,4.607099320116326,0.018957787723972875,6.731018100482083,0.029411764705882353
Delhi,Construction,8566,34,14376,8,Landfill,2594,19,Delhi Landfill,74509,2021,30.2591,91.9376,595.8542014468559,0.1149659772644915,136.52631578947367,2021_and_after,115008,152,6.39167286488438,0.10882389078239757,4.923815286354172,0.029411764705882353
Delhi,Hazardous,2873,76,14376,8,Incineration,1904,16,Delhi Landfill,74509,2021,30.2591,91.9376,199.8469671675014,0.0385591002429236,119.0,2021_and_after,115008,128,5.3025432607037395,0.03783427195204875,4.787491742782046,0.029411764705882353
Delhi,Plastic,6770,66,14376,10,Landfill,3496,2,Delhi Landfill,74509,2022,30.2591,91.9376,470.9237618252643,0.0908615066636245,1748.0,2021_and_after,143760,20,6.1568174509829,0.08696775714662071,7.466799475018602,0.029411764705882353
Delhi,Organic,8105,40,14376,8,Recycling,3175,12,Delhi Landfill,74509,2022,30.2591,91.9376,563.7868670005565,0.1087788052450039,264.5833333333333,2021_and_after,115008,96,6.336448433430921,0.10325923423202991,5.581928664629336,0.029411764705882353
Delhi,E-Waste,6564,72,14376,7,Recycling,4437,13,Delhi Landfill,74509,2022,30.2591,91.9376,456.5943238731219,0.088096739991142,341.3076923076923,2021_and_after,100632,91,6.125983035865234,0.084430059914043,5.835710017698749,0.029411764705882353
Delhi,Construction,7226,48,14376,8,Incineration,2360,11,Delhi Landfill,74509,2022,30.2591,91.9376,502.6432943795214,0.0969815726959159,214.54545454545453,2021_and_after,115008,88,6.2218682682516535,0.09256238324491096,5.373171813267035,0.029411764705882353
Delhi,Hazardous,3464,32,14376,6,Incineration,2523,1,Delhi Landfill,74509,2022,30.2591,91.9376,240.9571508069004,0.0464910279295118,2523.0,2021_and_after,86256,6,5.488760647697818,0.04544268946010559,7.8336002236611035,0.029411764705882353
Delhi,Plastic,2397,67,14376,9,Landfill,3644,0,Delhi Landfill,74509,2023,30.2591,91.9376,166.7362270450751,0.0321706102618475,266.9330357142857,2021_and_after,129384,0,5.122392668427866,0.03166397341669226,5.590737082551223,0.029411764705882353
Delhi,Organic,9092,71,14376,6,Landfill,2194,14,Delhi Landfill,74509,2023,30.2591,91.9376,632.4429604897051,0.1220255271175294,156.71428571428572,2021_and_after,86256,84,6.451169957017184,0.11513555828334275,5.060785077781727,0.029411764705882353
Delhi,E-Waste,7257,32,14376,5,Incineration,3259,5,Delhi Landfill,74509,2023,30.2591,91.9376,504.7996661101837,0.0973976298165322,651.8,2021_and_after,71880,25,6.226140674113432,0.09294158582313947,6.481270803649897,0.029411764705882353
Delhi,Construction,8220,66,14376,6,Incineration,1687,10,Delhi Landfill,74509,2023,30.2591,91.9376,571.7863105175292,0.110322242950516,168.7,2021_and_after,86256,60,6.350512716124688,0.10465028215717809,5.134032172240181,0.029411764705882353
Delhi,Hazardous,3054,32,14376,9,Landfill,1135,7,Delhi Landfill,74509,2023,30.2591,91.9376,212.4373956594324,0.0409883369794253,162.14285714285714,2021_and_after,129384,63,5.363343560907279,0.04017058589996968,5.094626241160642,0.029411764705882353
Bengaluru,Plastic,7843,36,18195,10,Incineration,4211,13,Bengaluru Landfill,52609,2019,15.7581,85.4837,431.0524869469634,0.1490809557300081,323.9230769230769,Before_2021,181950,130,6.0685470784262945,0.1389624539390039,5.78358846792456,0.029411764705882353
Bengaluru,Organic,8884,32,18195,6,Incineration,4262,17,Bengaluru Landfill,52609,2019,15.7581,85.4837,488.26600714482,0.1688684445627174,250.7058823529412,Before_2021,109170,102,6.192906323461607,0.15603613942727323,5.5282612723606,0.029411764705882353
Bengaluru,E-Waste,2167,61,18195,6,Recycling,4554,0,Bengaluru Landfill,52609,2019,15.7581,85.4837,119.09865347622971,0.0411906707977722,266.9330357142857,Before_2021,109170,0,4.788313517334741,0.040364934049891485,5.590737082551223,0.029411764705882353
Bengaluru,Construction,4750,31,18195,7,Composting,4444,2,Bengaluru Landfill,52609,2019,15.7581,85.4837,261.06073097004673,0.0902887338668288,2222.0,Before_2021,127365,14,5.568576274495784,0.0864425546187816,7.706612913964197,0.029411764705882353
Bengaluru,Hazardous,8952,43,18195,5,Recycling,2956,0,Bengaluru Landfill,52609,2019,15.7581,85.4837,492.0032976092333,0.1701609990686004,266.9330357142857,Before_2021,90975,0,6.200515862882862,0.1571413453843607,5.590737082551223,0.029411764705882353
Bengaluru,Plastic,7075,84,18195,6,Incineration,4993,15,Bengaluru Landfill,52609,2020,15.7581,85.4837,388.8430887606485,0.1344826930753293,332.8666666666667,Before_2021,109170,90,5.965744321653484,0.1261767700093049,5.810741711677724,0.029411764705882353
Bengaluru,Organic,3653,83,18195,5,Composting,3975,1,Bengaluru Landfill,52609,2020,15.7581,85.4837,200.769442154438,0.0694367883822159,3975.0,Before_2021,90975,5,5.307125670063078,0.0671321438966728,8.288031567776464,0.029411764705882353
Bengaluru,E-Waste,5477,40,18195,10,Incineration,3064,14,Bengaluru Landfill,52609,2020,15.7581,85.4837,301.016762846936,0.1041076621870782,218.8571428571429,Before_2021,181950,140,5.710482521950144,0.09903746319711916,5.392977984783566,0.029411764705882353
Bengaluru,Construction,6105,83,18195,6,Incineration,2320,18,Bengaluru Landfill,52609,2020,15.7581,85.4837,335.5317394888706,0.1160447832119979,128.88888888888889,Before_2021,109170,108,5.8186924670404805,0.10979099148016244,4.866679384135849,0.029411764705882353
Bengaluru,Hazardous,941,63,18195,5,Landfill,3733,6,Bengaluru Landfill,52609,2020,15.7581,85.4837,51.71750480901346,0.0178866733828812,622.1666666666666,Before_2021,90975,30,3.964947559958364,0.017728589124887464,6.434814005749058,0.029411764705882353
Bengaluru,Plastic,798,36,18195,8,Incineration,2456,11,Bengaluru Landfill,52609,2021,15.7581,85.4837,43.858202802967845,0.0151685072896272,223.27272727272728,2021_and_after,145560,88,3.803506465939296,0.015054615748563361,5.412862843730986,0.029411764705882353
Bengaluru,Organic,994,51,18195,6,Recycling,2169,15,Bengaluru Landfill,52609,2021,15.7581,85.4837,54.6303929651003,0.01889410557129,144.6,2021_and_after,109170,90,4.018729687968424,0.018717828890869332,4.980863135762585,0.029411764705882353
Bengaluru,E-Waste,8114,56,18195,8,Recycling,4323,6,Bengaluru Landfill,52609,2021,15.7581,85.4837,445.9466886507282,0.154232165599042,720.5,2021_and_after,145560,48,6.10243932273749,0.14343533121263746,6.581332378213926,0.029411764705882353
Bengaluru,Construction,6555,34,18195,7,Composting,2973,17,Bengaluru Landfill,52609,2021,15.7581,85.4837,360.26380873866447,0.1245984527362238,174.88235294117646,2021_and_after,127365,119,5.889608463578206,0.11742604104025328,5.169815322328516,0.029411764705882353
Bengaluru,Hazardous,4008,47,18195,10,Incineration,3873,5,Bengaluru Landfill,52609,2021,15.7581,85.4837,220.280296784831,0.0761846832291052,774.6,2021_and_after,181950,50,5.399430209134055,0.07342208570011768,6.653636923368497,0.029411764705882353
Bengaluru,Plastic,3739,43,18195,5,Recycling,2073,9,Bengaluru Landfill,52609,2022,15.7581,85.4837,205.4960153888431,0.071071489669068,230.33333333333331,2021_and_after,90975,45,5.330281116277113,0.06865953962919012,5.443859671838695,0.029411764705882353
Bengaluru,Organic,909,54,18195,10,Composting,1000,20,Bengaluru Landfill,52609,2022,15.7581,85.4837,49.95877988458368,0.0172784124389363,50.0,2021_and_after,181950,200,3.9310170683670687,0.017130838145083715,3.9318256327243257,0.029411764705882353
Bengaluru,E-Waste,5864,51,18195,9,Landfill,4645,19,Bengaluru Landfill,52609,2022,15.7581,85.4837,322.2863424017587,0.1114638179779125,244.47368421052636,2021_and_after,163755,171,5.778538439489421,0.10567790146574302,5.503189748863888,0.029411764705882353
Bengaluru,Construction,512,65,18195,6,Incineration,3796,17,Bengaluru Landfill,52609,2022,15.7581,85.4837,28.13959879087661,0.0097321751031192,223.2941176470588,2021_and_after,109170,102,3.372098032342714,0.009685122523319175,5.412958215801347,0.029411764705882353
Bengaluru,Hazardous,902,85,18195,7,Landfill,1379,14,Bengaluru Landfill,52609,2022,15.7581,85.4837,49.57405880736466,0.0171453553574483,98.5,2021_and_after,127365,98,3.923438773041092,0.017000032475405717,4.600157644164547,0.029411764705882353
Bengaluru,Plastic,5280,68,18195,9,Landfill,2386,10,Bengaluru Landfill,52609,2023,15.7581,85.4837,290.1896125309151,0.1003630557509171,238.6,2021_and_after,163755,90,5.673974644432571,0.09564017603223177,5.478970866241294,0.029411764705882353
Bengaluru,Organic,7135,79,18195,5,Incineration,3919,17,Bengaluru Landfill,52609,2023,15.7581,85.4837,392.1406979939544,0.1356231823452261,230.52941176470588,2021_and_after,90975,85,5.974167557961648,0.12718155959044186,5.444706914115928,0.029411764705882353
Bengaluru,E-Waste,7667,81,18195,6,Landfill,2745,10,Bengaluru Landfill,52609,2023,15.7581,85.4837,421.3794998625996,0.1457355205383109,274.5,2021_and_after,109170,60,6.045904198692056,0.1360468067870377,5.6185876285929695,0.029411764705882353
Bengaluru,Construction,3159,43,18195,10,Recycling,4007,7,Bengaluru Landfill,52609,2023,15.7581,85.4837,173.61912613355318,0.0600467600600657,572.4285714285714,2021_and_after,181950,70,5.162607179980912,0.058313020415227276,6.35163338030097,0.029411764705882353
Bengaluru,Hazardous,5891,59,18195,7,Incineration,2202,15,Bengaluru Landfill,52609,2023,15.7581,85.4837,323.7702665567464,0.111977038149366,146.8,2021_and_after,127365,105,5.783118060244747,0.10613954646894048,4.995860008514102,0.029411764705882353
Chennai,Plastic,6159,74,21430,10,Composting,3282,13,Chennai Landfill,65486,2019,29.4633,80.8873,287.40083994400374,0.0940506367773264,252.46153846153845,Before_2021,214300,130,5.66435131783375,0.08988698883112227,5.5352120894750705,0.029411764705882353
Chennai,Organic,6358,53,21430,5,Composting,4225,1,Chennai Landfill,65486,2019,29.4633,80.8873,296.68688754083064,0.0970894542344928,4225.0,Before_2021,107150,5,5.696042221169353,0.09266072239377142,8.349011198176003,0.029411764705882353
Chennai,E-Waste,6787,50,21430,5,Landfill,1623,7,Chennai Landfill,65486,2019,29.4633,80.8873,316.7055529631358,0.1036404727728064,231.8571428571429,Before_2021,107150,35,5.761125019760227,0.09861423609630322,5.450425144745495,0.029411764705882353
Chennai,Construction,628,41,21430,10,Recycling,837,7,Chennai Landfill,65486,2019,29.4633,80.8873,29.30471301913206,0.0095898359954799,119.57142857142856,Before_2021,214300,70,3.411303245605302,0.00954414539625106,4.792242345540644,0.029411764705882353
Chennai,Hazardous,1639,50,21430,9,Composting,3225,19,Chennai Landfill,65486,2019,29.4633,80.8873,76.48156789547363,0.025028250313044,169.73684210526315,Before_2021,192870,171,4.350040074465612,0.02472017349158491,5.140123436068863,0.029411764705882353
Chennai,Plastic,1760,68,21430,8,Incineration,2871,18,Chennai Landfill,65486,2020,29.4633,80.8873,82.12785814279049,0.026875973490517,159.5,Before_2021,171440,144,4.42037988205758,0.026521157821622437,5.07829394257007,0.029411764705882353
Chennai,Organic,6805,32,21430,5,Composting,1988,3,Chennai Landfill,65486,2020,29.4633,80.8873,317.5454969668689,0.1039153406835048,662.6666666666666,Before_2021,107150,15,5.7637653124301504,0.09886326075103075,6.497780015396087,0.029411764705882353
Chennai,E-Waste,5763,67,21430,5,Landfill,1453,0,Chennai Landfill,65486,2020,29.4633,80.8873,268.92207186187585,0.0880035427419601,266.9330357142857,Before_2021,107150,0,5.598133294605025,0.08434440462510398,5.590737082551223,0.029411764705882353
Chennai,Construction,8100,76,21430,9,Incineration,2855,1,Chennai Landfill,65486,2020,29.4633,80.8873,377.974801679888,0.1236905598143114,2855.0,Before_2021,192870,9,5.937469716539363,0.11661841091245982,7.957177323459475,0.029411764705882353
Chennai,Hazardous,651,46,21430,8,Recycling,533,7,Chennai Landfill,65486,2020,29.4633,80.8873,30.377974801679887,0.0099410561035946,76.14285714285714,Before_2021,171440,56,3.4461062073535187,0.009891968856669204,4.345658990503007,0.029411764705882353
Chennai,Plastic,4648,60,21430,9,Landfill,1389,0,Chennai Landfill,65486,2021,29.4633,80.8873,216.8922071861876,0.0709770027181382,266.9330357142857,2021_and_after,192870,0,5.384000478053539,0.06857131851624437,5.590737082551223,0.029411764705882353
Chennai,Organic,8394,72,21430,6,Incineration,4236,15,Chennai Landfill,65486,2021,29.4633,80.8873,391.6938870741951,0.1281800690223864,282.4,2021_and_after,128580,90,5.973030395061469,0.12060577599359532,5.64685932725658,0.029411764705882353
Chennai,E-Waste,4255,31,21430,6,Landfill,3888,17,Chennai Landfill,65486,2021,29.4633,80.8873,198.5534297713486,0.0649757200012216,228.7058823529412,2021_and_after,128580,102,5.296082018875722,0.06295200078058866,5.4367997182175705,0.029411764705882353
Chennai,Construction,4259,65,21430,7,Composting,1620,10,Chennai Landfill,65486,2021,29.4633,80.8873,198.7400839944004,0.0650368017591546,162.0,2021_and_after,150010,70,5.297016941333577,0.06300935420675466,5.093750200806762,0.029411764705882353
Chennai,Hazardous,552,31,21430,7,Incineration,2450,2,Chennai Landfill,65486,2021,29.4633,80.8873,25.758282781147923,0.008429282594753,1225.0,2021_and_after,150010,14,3.2868440620928996,0.00839395457993932,7.111512116496157,0.029411764705882353
Chennai,Plastic,1858,61,21430,5,Incineration,4476,3,Chennai Landfill,65486,2022,29.4633,80.8873,86.7008866075595,0.0283724765598753,1492.0,2021_and_after,107150,15,4.473932008877315,0.027977432690770885,7.30854279753919,0.029411764705882353
Chennai,Organic,5933,71,21430,8,Recycling,3180,20,Chennai Landfill,65486,2022,29.4633,80.8873,276.8548763415772,0.0905995174541123,159.0,2021_and_after,171440,160,5.627098949838535,0.08672756105063245,5.075173815233827,0.029411764705882353
Chennai,E-Waste,7231,36,21430,7,Incineration,3588,12,Chennai Landfill,65486,2022,29.4633,80.8873,337.4241717218852,0.1104205479033686,299.0,2021_and_after,150010,84,5.824300054619303,0.10473881555539212,5.703782474656201,0.029411764705882353
Chennai,Construction,8389,79,21430,10,Incineration,3449,20,Chennai Landfill,65486,2022,29.4633,80.8873,391.4605692953803,0.1281037168249702,172.45,2021_and_after,214300,200,5.972436071782044,0.12053809638881842,5.155889373415759,0.029411764705882353
Chennai,Hazardous,6393,53,21430,7,Landfill,764,16,Chennai Landfill,65486,2022,29.4633,80.8873,298.32011199253384,0.0976239196164065,47.75,2021_and_after,150010,112,5.701513609368622,0.09314777040545888,3.886705197443856,0.029411764705882353
Chennai,Plastic,4234,44,21430,8,Composting,3634,19,Chennai Landfill,65486,2023,29.4633,80.8873,197.57349510032665,0.0646550407720734,191.26315789473685,2021_and_after,171440,152,5.291159283995334,0.06265084131437632,5.258865047628842,0.029411764705882353
Chennai,Organic,7743,64,21430,7,Recycling,2483,20,Chennai Landfill,65486,2023,29.4633,80.8873,361.3159122725152,0.1182390129187918,124.15,2021_and_after,150010,140,5.8925165170925595,0.11175513803666981,4.829513017877783,0.029411764705882353
Chennai,E-Waste,618,85,21430,6,Incineration,1982,15,Chennai Landfill,65486,2023,29.4633,80.8873,28.838077461502568,0.0094371316006474,132.13333333333333,2021_and_after,128580,90,3.395785345026144,0.00939288006143933,4.891351132313605,0.029411764705882353
Chennai,Construction,4852,69,21430,5,Recycling,4411,8,Chennai Landfill,65486,2023,29.4633,80.8873,226.4115725618292,0.0740921723727209,551.375,2021_and_after,107150,40,5.42676147079476,0.0714758139803024,6.314227163450904,0.029411764705882353
Chennai,Hazardous,3096,45,21430,8,Composting,896,19,Chennai Landfill,65486,2023,29.4633,80.8873,144.47036864209053,0.0472772806401368,47.1578947368421,2021_and_after,171440,152,4.979972413927279,0.046193730293386796,3.8744850861090807,0.029411764705882353
Kolkata,Plastic,7992,32,17335,9,Composting,2038,20,Kolkata Landfill,80985,2019,16.068,72.6096,461.0325930199019,0.0986849416558622,101.9,Before_2021,156015,180,6.135635436255495,0.09411395702948518,4.633757642840004,0.029411764705882353
Kolkata,Organic,8041,71,17335,6,Composting,4200,6,Kolkata Landfill,80985,2019,16.068,72.6096,463.8592443034324,0.0992899919738223,700.0,Before_2021,104010,36,6.14173465934161,0.09466450956216935,6.55250788703459,0.029411764705882353
Kolkata,E-Waste,812,50,17335,10,Recycling,3118,16,Kolkata Landfill,80985,2019,16.068,72.6096,46.84164984136141,0.0100265481261962,194.875,Before_2021,173350,160,3.8678965956982565,0.009976615781177922,5.277476700676185,0.029411764705882353
Kolkata,Construction,4954,63,17335,10,Incineration,1135,14,Kolkata Landfill,80985,2019,16.068,72.6096,285.7802134410153,0.061171821942335,81.07142857142857,Before_2021,173350,140,5.658716115554052,0.05937378991565618,4.407589948233497,0.029411764705882353
Kolkata,Hazardous,626,53,17335,5,Recycling,4504,6,Kolkata Landfill,80985,2019,16.068,72.6096,36.11191231612345,0.0077298265110822,750.6666666666666,Before_2021,86675,30,3.613938004764054,0.007700104468037699,6.622292963268669,0.029411764705882353
Kolkata,Plastic,1569,52,17335,10,Composting,2719,4,Kolkata Landfill,80985,2020,16.068,72.6096,90.51052783386211,0.0193739581403963,679.75,Before_2021,173350,40,4.516454023956353,0.019188672335374378,6.5231951315538685,0.029411764705882353
Kolkata,Organic,6472,74,17335,5,Landfill,3328,14,Kolkata Landfill,80985,2020,16.068,72.6096,373.3487164695702,0.0799160338334259,237.7142857142857,Before_2021,86675,70,5.92518775997994,0.0768832916631848,5.47526737954008,0.029411764705882353
