City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Name,Landfill Capacity (Tons),Year,Landfill_Lat,Landfill_Long,Waste_Per_Capita_kg,Landfill_Utilization_Ratio,Cost_Per_Campaign
Mumbai,Plastic,6932,81,11191,10,Incineration,2543,16,Mumbai Landfill,45575,2021,22.4265,77.4931,619.4263247252256,0.1521009325287987,158.9375
Mumbai,Organic,4171,44,11191,9,Incineration,4756,14,Mumbai Landfill,45575,2021,22.4265,77.4931,372.7102135644715,0.09151947339550193,339.7142857142857
Mumbai,E-Waste,5095,30,11191,10,Composting,3586,2,Mumbai Landfill,45575,2021,22.4265,77.4931,455.2765615226521,0.11179374657158529,1793.0
Mumbai,Construction,3514,77,11191,9,Incineration,3520,0,Mumbai Landfill,45575,2021,22.4265,77.4931,314.00232329550533,0.07710367526055951,
Mumbai,Hazardous,4505,54,11191,10,Composting,3655,4,Mumbai Landfill,45575,2021,22.4265,77.4931,402.55562505584845,0.09884805266044981,913.75
Mumbai,Plastic,2501,41,11191,9,Recycling,1194,4,Mumbai Landfill,45575,2022,22.4265,77.4931,223.48315610758647,0.05487657707076248,298.5
Mumbai,Organic,3348,79,11191,6,Incineration,2383,10,Mumbai Landfill,45575,2022,22.4265,77.4931,299.1689750692521,0.07346132748217224,238.3
Mumbai,E-Waste,6915,41,11191,9,Incineration,2324,1,Mumbai Landfill,45575,2022,22.4265,77.4931,617.9072468948262,0.15172792100932528,2324.0
Mumbai,Construction,5862,48,11191,7,Landfill,2867,19,Mumbai Landfill,45575,2022,22.4265,77.4931,523.813778929497,0.12862314865606145,150.89473684210526
Mumbai,Hazardous,4856,74,11191,10,Landfill,826,1,Mumbai Landfill,45575,2022,22.4265,77.4931,433.9201143776249,0.1065496434448711,826.0
Mumbai,Plastic,6569,48,11191,5,Landfill,4287,16,Mumbai Landfill,45575,2023,22.4265,77.4931,586.989545170226,0.14413603949533735,267.9375
Mumbai,Organic,7809,35,11191,8,Recycling,3128,7,Mumbai Landfill,45575,2023,22.4265,77.4931,697.792869269949,0.17134393856280855,446.85714285714283
Mumbai,E-Waste,7232,82,11191,6,Landfill,1565,9,Mumbai Landfill,45575,2023,22.4265,77.4931,646.2335805558038,0.1586834887547998,173.88888888888889
Mumbai,Construction,4039,54,11191,9,Recycling,1252,12,Mumbai Landfill,45575,2023,22.4265,77.4931,360.9150209990171,0.08862314865606144,104.33333333333333
Mumbai,Hazardous,7077,70,11191,9,Incineration,2850,5,Mumbai Landfill,45575,2023,22.4265,77.4931,632.3831650433384,0.15528250137136587,570.0
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,Delhi Landfill,74509,2019,30.2591,91.9376,73.80356149137451,0.014239890483028896,4240.0
Delhi,Organic,2224,84,14376,10,Landfill,3219,4,Delhi Landfill,74509,2019,30.2591,91.9376,154.7022815804118,0.029848743104859816,804.75
Delhi,E-Waste,2395,43,14376,5,Composting,2005,1,Delhi Landfill,74509,2019,30.2591,91.9376,166.5971062882582,0.03214376786696909,2005.0
Delhi,Construction,1887,80,14376,7,Incineration,4307,4,Delhi Landfill,74509,2019,30.2591,91.9376,131.26043405676126,0.025325799567837443,1076.75
Delhi,Hazardous,4158,48,14376,5,Composting,4183,6,Delhi Landfill,74509,2019,30.2591,91.9376,289.2320534223706,0.05580533895234133,697.1666666666666
Delhi,Plastic,763,75,14376,5,Recycling,1337,20,Delhi Landfill,74509,2020,30.2591,91.9376,53.07456872565387,0.010240373646136709,66.85
Delhi,Organic,7143,69,14376,9,Landfill,682,16,Delhi Landfill,74509,2020,30.2591,91.9376,496.8697829716194,0.09586761330845939,42.625
Delhi,E-Waste,7516,84,14376,5,Composting,620,18,Delhi Landfill,74509,2020,30.2591,91.9376,522.8158041179744,0.10087371995329424,34.44444444444444
Delhi,Construction,3125,77,14376,8,Recycling,4345,5,Delhi Landfill,74509,2020,30.2591,91.9376,217.37618252643296,0.041941241997611026,869.0
Delhi,Hazardous,6574,84,14376,8,Incineration,913,20,Delhi Landfill,74509,2020,30.2591,91.9376,457.2899276572065,0.08823095196553436,45.65
Delhi,Plastic,3407,82,14376,10,Composting,2802,4,Delhi Landfill,74509,2021,30.2591,91.9376,236.99220923761825,0.045726019675475446,700.5
Delhi,Organic,9617,36,14376,6,Recycling,2676,5,Delhi Landfill,74509,2021,30.2591,91.9376,668.9621591541458,0.12907165577312807,535.2
Delhi,E-Waste,1426,38,14376,5,Composting,1674,2,Delhi Landfill,74509,2021,30.2591,91.9376,99.19309961046189,0.019138627548349864,837.0
Delhi,Construction,8566,34,14376,8,Landfill,2594,19,Delhi Landfill,74509,2021,30.2591,91.9376,595.8542014468559,0.11496597726449154,136.52631578947367
Delhi,Hazardous,2873,76,14376,8,Incineration,1904,16,Delhi Landfill,74509,2021,30.2591,91.9376,199.8469671675014,0.03855910024292367,119.0
Delhi,Plastic,6770,66,14376,10,Landfill,3496,2,Delhi Landfill,74509,2022,30.2591,91.9376,470.9237618252643,0.09086150666362452,1748.0
Delhi,Organic,8105,40,14376,8,Recycling,3175,12,Delhi Landfill,74509,2022,30.2591,91.9376,563.7868670005565,0.10877880524500395,264.5833333333333
Delhi,E-Waste,6564,72,14376,7,Recycling,4437,13,Delhi Landfill,74509,2022,30.2591,91.9376,456.5943238731219,0.08809673999114201,341.3076923076923
Delhi,Construction,7226,48,14376,8,Incineration,2360,11,Delhi Landfill,74509,2022,30.2591,91.9376,502.6432943795214,0.09698157269591592,214.54545454545453
Delhi,Hazardous,3464,32,14376,6,Incineration,2523,1,Delhi Landfill,74509,2022,30.2591,91.9376,240.9571508069004,0.046491027929511874,2523.0
Delhi,Plastic,2397,67,14376,9,Landfill,3644,0,Delhi Landfill,74509,2023,30.2591,91.9376,166.7362270450751,0.03217061026184756,
Delhi,Organic,9092,71,14376,6,Landfill,2194,14,Delhi Landfill,74509,2023,30.2591,91.9376,632.4429604897051,0.12202552711752943,156.71428571428572
Delhi,E-Waste,7257,32,14376,5,Incineration,3259,5,Delhi Landfill,74509,2023,30.2591,91.9376,504.79966611018364,0.09739762981653223,651.8
Delhi,Construction,8220,66,14376,6,Incineration,1687,10,Delhi Landfill,74509,2023,30.2591,91.9376,571.7863105175292,0.11032224295051604,168.7
Delhi,Hazardous,3054,32,14376,9,Landfill,1135,7,Delhi Landfill,74509,2023,30.2591,91.9376,212.43739565943238,0.040988336979425305,162.14285714285714
Bengaluru,Plastic,7843,36,18195,10,Incineration,4211,13,Bengaluru Landfill,52609,2019,15.7581,85.4837,431.0524869469634,0.14908095573000818,323.9230769230769
Bengaluru,Organic,8884,32,18195,6,Incineration,4262,17,Bengaluru Landfill,52609,2019,15.7581,85.4837,488.26600714482,0.1688684445627174,250.7058823529412
Bengaluru,E-Waste,2167,61,18195,6,Recycling,4554,0,Bengaluru Landfill,52609,2019,15.7581,85.4837,119.09865347622973,0.04119067079777224,
Bengaluru,Construction,4750,31,18195,7,Composting,4444,2,Bengaluru Landfill,52609,2019,15.7581,85.4837,261.06073097004673,0.09028873386682887,2222.0
Bengaluru,Hazardous,8952,43,18195,5,Recycling,2956,0,Bengaluru Landfill,52609,2019,15.7581,85.4837,492.0032976092333,0.17016099906860044,
Bengaluru,Plastic,7075,84,18195,6,Incineration,4993,15,Bengaluru Landfill,52609,2020,15.7581,85.4837,388.8430887606485,0.1344826930753293,332.8666666666667
Bengaluru,Organic,3653,83,18195,5,Composting,3975,1,Bengaluru Landfill,52609,2020,15.7581,85.4837,200.76944215443802,0.06943678838221597,3975.0
Bengaluru,E-Waste,5477,40,18195,10,Incineration,3064,14,Bengaluru Landfill,52609,2020,15.7581,85.4837,301.016762846936,0.10410766218707826,218.85714285714286
Bengaluru,Construction,6105,83,18195,6,Incineration,2320,18,Bengaluru Landfill,52609,2020,15.7581,85.4837,335.5317394888706,0.11604478321199795,128.88888888888889
Bengaluru,Hazardous,941,63,18195,5,Landfill,3733,6,Bengaluru Landfill,52609,2020,15.7581,85.4837,51.71750480901346,0.017886673382881257,622.1666666666666
Bengaluru,Plastic,798,36,18195,8,Incineration,2456,11,Bengaluru Landfill,52609,2021,15.7581,85.4837,43.858202802967845,0.01516850728962725,223.27272727272728
Bengaluru,Organic,994,51,18195,6,Recycling,2169,15,Bengaluru Landfill,52609,2021,15.7581,85.4837,54.6303929651003,0.018894105571290083,144.6
Bengaluru,E-Waste,8114,56,18195,8,Recycling,4323,6,Bengaluru Landfill,52609,2021,15.7581,85.4837,445.9466886507282,0.154232165599042,720.5
Bengaluru,Construction,6555,34,18195,7,Composting,2973,17,Bengaluru Landfill,52609,2021,15.7581,85.4837,360.26380873866447,0.12459845273622384,174.88235294117646
Bengaluru,Hazardous,4008,47,18195,10,Incineration,3873,5,Bengaluru Landfill,52609,2021,15.7581,85.4837,220.280296784831,0.07618468322910528,774.6
Bengaluru,Plastic,3739,43,18195,5,Recycling,2073,9,Bengaluru Landfill,52609,2022,15.7581,85.4837,205.4960153888431,0.07107148966906802,230.33333333333334
Bengaluru,Organic,909,54,18195,10,Composting,1000,20,Bengaluru Landfill,52609,2022,15.7581,85.4837,49.95877988458368,0.017278412438936304,50.0
Bengaluru,E-Waste,5864,51,18195,9,Landfill,4645,19,Bengaluru Landfill,52609,2022,15.7581,85.4837,322.2863424017587,0.11146381797791252,244.47368421052633
Bengaluru,Construction,512,65,18195,6,Incineration,3796,17,Bengaluru Landfill,52609,2022,15.7581,85.4837,28.139598790876615,0.009732175103119238,223.2941176470588
Bengaluru,Hazardous,902,85,18195,7,Landfill,1379,14,Bengaluru Landfill,52609,2022,15.7581,85.4837,49.57405880736466,0.017145355357448346,98.5
Bengaluru,Plastic,5280,68,18195,9,Landfill,2386,10,Bengaluru Landfill,52609,2023,15.7581,85.4837,290.1896125309151,0.10036305575091714,238.6
Bengaluru,Organic,7135,79,18195,5,Incineration,3919,17,Bengaluru Landfill,52609,2023,15.7581,85.4837,392.1406979939544,0.1356231823452261,230.52941176470588
Bengaluru,E-Waste,7667,81,18195,6,Landfill,2745,10,Bengaluru Landfill,52609,2023,15.7581,85.4837,421.37949986259963,0.14573552053831093,274.5
Bengaluru,Construction,3159,43,18195,10,Recycling,4007,7,Bengaluru Landfill,52609,2023,15.7581,85.4837,173.61912613355318,0.06004676006006577,572.4285714285714
Bengaluru,Hazardous,5891,59,18195,7,Incineration,2202,15,Bengaluru Landfill,52609,2023,15.7581,85.4837,323.7702665567464,0.11197703814936608,146.8
Chennai,Plastic,6159,74,21430,10,Composting,3282,13,Chennai Landfill,65486,2019,29.4633,80.8873,287.40083994400374,0.09405063677732645,252.46153846153845
Chennai,Organic,6358,53,21430,5,Composting,4225,1,Chennai Landfill,65486,2019,29.4633,80.8873,296.68688754083064,0.09708945423449288,4225.0
Chennai,E-Waste,6787,50,21430,5,Landfill,1623,7,Chennai Landfill,65486,2019,29.4633,80.8873,316.7055529631358,0.1036404727728064,231.85714285714286
Chennai,Construction,628,41,21430,10,Recycling,837,7,Chennai Landfill,65486,2019,29.4633,80.8873,29.30471301913206,0.00958983599547995,119.57142857142857
Chennai,Hazardous,1639,50,21430,9,Composting,3225,19,Chennai Landfill,65486,2019,29.4633,80.8873,76.48156789547363,0.02502825031304401,169.73684210526315
Chennai,Plastic,1760,68,21430,8,Incineration,2871,18,Chennai Landfill,65486,2020,29.4633,80.8873,82.12785814279049,0.02687597349051706,159.5
Chennai,Organic,6805,32,21430,5,Composting,1988,3,Chennai Landfill,65486,2020,29.4633,80.8873,317.5454969668689,0.10391534068350487,662.6666666666666
Chennai,E-Waste,5763,67,21430,5,Landfill,1453,0,Chennai Landfill,65486,2020,29.4633,80.8873,268.92207186187585,0.08800354274196011,
Chennai,Construction,8100,76,21430,9,Incineration,2855,1,Chennai Landfill,65486,2020,29.4633,80.8873,377.974801679888,0.12369055981431146,2855.0
Chennai,Hazardous,651,46,21430,8,Recycling,533,7,Chennai Landfill,65486,2020,29.4633,80.8873,30.377974801679887,0.00994105610359466,76.14285714285714
Chennai,Plastic,4648,60,21430,9,Landfill,1389,0,Chennai Landfill,65486,2021,29.4633,80.8873,216.8922071861876,0.07097700271813823,
Chennai,Organic,8394,72,21430,6,Incineration,4236,15,Chennai Landfill,65486,2021,29.4633,80.8873,391.69388707419506,0.12818006902238646,282.4
Chennai,E-Waste,4255,31,21430,6,Landfill,3888,17,Chennai Landfill,65486,2021,29.4633,80.8873,198.5534297713486,0.06497572000122163,228.7058823529412
Chennai,Construction,4259,65,21430,7,Composting,1620,10,Chennai Landfill,65486,2021,29.4633,80.8873,198.74008399440038,0.06503680175915463,162.0
Chennai,Hazardous,552,31,21430,7,Incineration,2450,2,Chennai Landfill,65486,2021,29.4633,80.8873,25.758282781147923,0.008429282594753076,1225.0
Chennai,Plastic,1858,61,21430,5,Incineration,4476,3,Chennai Landfill,65486,2022,29.4633,80.8873,86.7008866075595,0.028372476559875393,1492.0
Chennai,Organic,5933,71,21430,8,Recycling,3180,20,Chennai Landfill,65486,2022,29.4633,80.8873,276.8548763415772,0.09059951745411234,159.0
Chennai,E-Waste,7231,36,21430,7,Incineration,3588,12,Chennai Landfill,65486,2022,29.4633,80.8873,337.4241717218852,0.11042054790336867,299.0
Chennai,Construction,8389,79,21430,10,Incineration,3449,20,Chennai Landfill,65486,2022,29.4633,80.8873,391.4605692953803,0.1281037168249702,172.45
Chennai,Hazardous,6393,53,21430,7,Landfill,764,16,Chennai Landfill,65486,2022,29.4633,80.8873,298.32011199253384,0.09762391961640655,47.75
Chennai,Plastic,4234,44,21430,8,Composting,3634,19,Chennai Landfill,65486,2023,29.4633,80.8873,197.57349510032665,0.06465504077207342,191.26315789473685
Chennai,Organic,7743,64,21430,7,Recycling,2483,20,Chennai Landfill,65486,2023,29.4633,80.8873,361.31591227251516,0.1182390129187918,124.15
Chennai,E-Waste,618,85,21430,6,Incineration,1982,15,Chennai Landfill,65486,2023,29.4633,80.8873,28.838077461502568,0.009437131600647467,132.13333333333333
Chennai,Construction,4852,69,21430,5,Recycling,4411,8,Chennai Landfill,65486,2023,29.4633,80.8873,226.41157256182922,0.0740921723727209,551.375
Chennai,Hazardous,3096,45,21430,8,Composting,896,19,Chennai Landfill,65486,2023,29.4633,80.8873,144.47036864209053,0.04727728064013682,47.1578947368421
Kolkata,Plastic,7992,32,17335,9,Composting,2038,20,Kolkata Landfill,80985,2019,16.068,72.6096,461.0325930199019,0.0986849416558622,101.9
Kolkata,Organic,8041,71,17335,6,Composting,4200,6,Kolkata Landfill,80985,2019,16.068,72.6096,463.8592443034324,0.09928999197382231,700.0
Kolkata,E-Waste,812,50,17335,10,Recycling,3118,16,Kolkata Landfill,80985,2019,16.068,72.6096,46.84164984136141,0.01002654812619621,194.875
Kolkata,Construction,4954,63,17335,10,Incineration,1135,14,Kolkata Landfill,80985,2019,16.068,72.6096,285.7802134410153,0.061171821942335,81.07142857142857
Kolkata,Hazardous,626,53,17335,5,Recycling,4504,6,Kolkata Landfill,80985,2019,16.068,72.6096,36.11191231612345,0.007729826511082299,750.6666666666666
Kolkata,Plastic,1569,52,17335,10,Composting,2719,4,Kolkata Landfill,80985,2020,16.068,72.6096,90.51052783386213,0.01937395814039637,679.75
Kolkata,Organic,6472,74,17335,5,Landfill,3328,14,Kolkata Landfill,80985,2020,16.068,72.6096,373.3487164695702,0.07991603383342594,237.71428571428572
Kolkata,E-Waste,6409,50,17335,9,Composting,1796,11,Kolkata Landfill,80985,2020,16.068,72.6096,369.71445053360253,0.07913811199604866,163.27272727272728
Kolkata,Construction,2509,60,17335,5,Composting,2411,20,Kolkata Landfill,80985,2020,16.068,72.6096,144.73608306893567,0.030981045872692473,120.55
Kolkata,Hazardous,5709,58,17335,10,Incineration,4414,3,Kolkata Landfill,80985,2020,16.068,72.6096,329.33371791173926,0.07049453602518985,1471.3333333333333
Kolkata,Plastic,3627,67,17335,6,Incineration,4952,16,Kolkata Landfill,80985,2021,16.068,72.6096,209.22988174214018,0.04478607149472125,309.5
Kolkata,Organic,9186,35,17335,6,Landfill,4649,9,Kolkata Landfill,80985,2021,16.068,72.6096,529.910585520623,0.11342841266901278,516.5555555555555
Kolkata,E-Waste,2735,54,17335,8,Composting,2923,1,Kolkata Landfill,80985,2021,16.068,72.6096,157.77329102970867,0.0337716861147126,2923.0
Kolkata,Construction,1989,45,17335,7,Recycling,2795,8,Kolkata Landfill,80985,2021,16.068,72.6096,114.7389674069801,0.02456010372291165,349.375
Kolkata,Hazardous,2740,34,17335,8,Recycling,1795,7,Kolkata Landfill,80985,2021,16.068,72.6096,158.06172483415057,0.03383342594307588,256.42857142857144
Kolkata,Plastic,1267,51,17335,7,Incineration,4565,9,Kolkata Landfill,80985,2022,16.068,72.6096,73.08912604557254,0.01564487250725443,507.22222222222223
Kolkata,Organic,545,61,17335,5,Landfill,4082,13,Kolkata Landfill,80985,2022,16.068,72.6096,31.439284684164985,0.00672964129159721,314.0
Kolkata,E-Waste,1714,81,17335,7,Composting,2394,11,Kolkata Landfill,80985,2022,16.068,72.6096,98.87510816267667,0.021164413162931408,217.63636363636363
Kolkata,Construction,7568,65,17335,5,Incineration,3770,0,Kolkata Landfill,80985,2022,16.068,72.6096,436.5734064032305,0.0934494042106563,
Kolkata,Hazardous,8057,32,17335,5,Composting,2400,3,Kolkata Landfill,80985,2022,16.068,72.6096,464.7822324776464,0.0994875594245848,800.0
Kolkata,Plastic,6343,80,17335,7,Recycling,1064,17,Kolkata Landfill,80985,2023,16.068,72.6096,365.90712431496974,0.07832314626165339,62.588235294117645
Kolkata,Organic,1654,71,17335,10,Incineration,2348,11,Kolkata Landfill,80985,2023,16.068,72.6096,95.4139025093741,0.020423535222572082,213.45454545454547
Kolkata,E-Waste,9639,60,17335,10,Landfill,2743,11,Kolkata Landfill,80985,2023,16.068,72.6096,556.0426882030574,0.11902204111872569,249.36363636363637
Kolkata,Construction,4040,77,17335,6,Landfill,2119,16,Kolkata Landfill,80985,2023,16.068,72.6096,233.05451398903952,0.04988578131752794,132.4375
Kolkata,Hazardous,956,81,17335,9,Landfill,673,10,Kolkata Landfill,80985,2023,16.068,72.6096,55.14854340928757,0.011804655183058592,67.3
Hyderabad,Plastic,5089,66,7927,6,Recycling,1103,10,Hyderabad Landfill,34239,2019,34.069,82.1518,641.983095748707,0.14863167732702473,110.3
Hyderabad,Organic,588,32,7927,6,Incineration,3131,5,Hyderabad Landfill,34239,2019,34.069,82.1518,74.17686388293176,0.017173398755804783,626.2
Hyderabad,E-Waste,6487,37,7927,9,Incineration,2065,0,Hyderabad Landfill,34239,2019,34.069,82.1518,818.3423741642488,0.18946230906276468,
Hyderabad,Construction,2163,52,7927,5,Incineration,2206,7,Hyderabad Landfill,34239,2019,34.069,82.1518,272.86489214078466,0.06317357399456759,315.14285714285717
Hyderabad,Hazardous,1887,48,7927,7,Composting,3526,17,Hyderabad Landfill,34239,2019,34.069,82.1518,238.04718052226568,0.05511259090510821,207.41176470588235
Hyderabad,Plastic,3899,59,7927,7,Incineration,2812,5,Hyderabad Landfill,34239,2020,34.069,82.1518,491.863252176107,0.1138759893688484,562.4
Hyderabad,Organic,7422,73,7927,9,Landfill,3646,19,Hyderabad Landfill,34239,2020,34.069,82.1518,936.2936798284345,0.21677034960133182,191.89473684210526
Hyderabad,E-Waste,2765,39,7927,7,Recycling,1602,15,Hyderabad Landfill,34239,2020,34.069,82.1518,348.8078718304529,0.08075586319693916,106.8
Hyderabad,Construction,5337,72,7927,7,Composting,4205,2,Hyderabad Landfill,34239,2020,34.069,82.1518,673.268575753753,0.15587487952335055,2102.5
Hyderabad,Hazardous,1713,85,7927,5,Incineration,4307,17,Hyderabad Landfill,34239,2020,34.069,82.1518,216.0968840671124,0.05003066678349251,253.35294117647058
Hyderabad,Plastic,7858,79,7927,7,Composting,3494,8,Hyderabad Landfill,34239,2021,34.069,82.1518,991.2955720953703,0.22950436636584012,436.75
Hyderabad,Organic,6905,46,7927,5,Incineration,1624,2,Hyderabad Landfill,34239,2021,34.069,82.1518,871.0735461082377,0.20167060953882998,812.0
Hyderabad,E-Waste,1285,72,7927,9,Incineration,1411,19,Hyderabad Landfill,34239,2021,34.069,82.1518,162.10420083259746,0.03753030170273665,74.26315789473684
Hyderabad,Construction,805,34,7927,6,Recycling,1077,11,Hyderabad Landfill,34239,2021,34.069,82.1518,101.55165888734705,0.023511200677589883,97.9090909090909
Hyderabad,Hazardous,742,83,7927,5,Composting,2985,12,Hyderabad Landfill,34239,2021,34.069,82.1518,93.60413775703293,0.02167119366803937,248.75
Hyderabad,Plastic,5774,48,7927,6,Incineration,3095,7,Hyderabad Landfill,34239,2022,34.069,82.1518,728.3966191497414,0.16863810274832794,442.14285714285717
Hyderabad,Organic,1013,80,7927,8,Composting,823,3,Hyderabad Landfill,34239,2022,34.069,82.1518,127.79109373028889,0.02958614445515348,274.3333333333333
Hyderabad,E-Waste,708,42,7927,6,Landfill,1987,0,Hyderabad Landfill,34239,2022,34.069,82.1518,89.31499936924436,0.020678174012091474,
Hyderabad,Construction,2667,39,7927,6,Incineration,4911,4,Hyderabad Landfill,34239,2022,34.069,82.1518,336.4450611832976,0.07789363007097169,1227.75
Hyderabad,Hazardous,8430,82,7927,7,Landfill,706,3,Hyderabad Landfill,34239,2022,34.069,82.1518,1063.4540179134603,0.24621046175414002,235.33333333333334
Hyderabad,Plastic,4495,51,7927,5,Composting,1787,10,Hyderabad Landfill,34239,2023,34.069,82.1518,567.0493250914595,0.1312830398084056,178.7
Hyderabad,Organic,1514,44,7927,7,Incineration,4521,3,Hyderabad Landfill,34239,2023,34.069,82.1518,190.992809385644,0.04421858115015041,1507.0
Hyderabad,E-Waste,1598,61,7927,8,Landfill,3658,4,Hyderabad Landfill,34239,2023,34.069,82.1518,201.58950422606281,0.0466719238295511,914.5
Hyderabad,Construction,4204,31,7927,8,Incineration,2208,8,Hyderabad Landfill,34239,2023,34.069,82.1518,530.3393465371515,0.1227839598119104,276.0
Hyderabad,Hazardous,4592,69,7927,10,Composting,4701,12,Hyderabad Landfill,34239,2023,34.069,82.1518,579.2859846095622,0.13411606647390403,391.75
Pune,Plastic,8897,48,12547,6,Incineration,4355,15,Pune Landfill,49524,2019,28.7237,84.2278,709.0938072846099,0.1796502705758824,290.3333333333333
Pune,Organic,8028,68,12547,8,Composting,3502,19,Pune Landfill,49524,2019,28.7237,84.2278,639.8342233203156,0.16210322267991276,184.31578947368422
Pune,E-Waste,3125,36,12547,7,Recycling,969,14,Pune Landfill,49524,2019,28.7237,84.2278,249.06352116043675,0.06310071884338907,69.21428571428571
Pune,Construction,9857,62,12547,7,Landfill,2667,12,Pune Landfill,49524,2019,28.7237,84.2278,785.606120985096,0.19903481140457152,222.25
Pune,Hazardous,5547,46,12547,7,Composting,1229,11,Pune Landfill,49524,2019,28.7237,84.2278,442.09771260062166,0.11200629997576933,111.72727272727273
Pune,Plastic,2280,52,12547,9,Landfill,2575,6,Pune Landfill,49524,2020,28.7237,84.2278,181.71674503865466,0.04603828446813666,429.1666666666667
Pune,Organic,1926,53,12547,9,Recycling,3238,19,Pune Landfill,49524,2020,28.7237,84.2278,153.5028293616004,0.03889023503755755,170.42105263157896
Pune,E-Waste,8098,36,12547,9,Incineration,2009,5,Pune Landfill,49524,2020,28.7237,84.2278,645.4132461943094,0.16351667878200468,401.8
Pune,Construction,1089,85,12547,6,Composting,798,14,Pune Landfill,49524,2020,28.7237,84.2278,86.793655853989,0.021989338502544222,57.0
Pune,Hazardous,8742,61,12547,5,Landfill,2713,13,Pune Landfill,49524,2020,28.7237,84.2278,696.7402566350522,0.1765204749212503,208.69230769230768
Pune,Plastic,4485,66,12547,8,Landfill,3069,11,Pune Landfill,49524,2021,28.7237,84.2278,357.45596556945884,0.09056215168403199,279.0
Pune,Organic,6145,44,12547,5,Composting,1707,6,Pune Landfill,49524,2021,28.7237,84.2278,489.75850800988286,0.12408125353364026,284.5
Pune,E-Waste,8407,61,12547,6,Composting,3974,3,Pune Landfill,49524,2021,28.7237,84.2278,670.0406471666533,0.169756077861239,1324.6666666666667
Pune,Construction,511,33,12547,5,Recycling,1998,6,Pune Landfill,49524,2021,28.7237,84.2278,40.72686698015462,0.01031822954527098,333.0
Pune,Hazardous,1623,57,12547,5,Composting,3589,20,Pune Landfill,49524,2021,28.7237,84.2278,129.35363034988444,0.03277198933850255,179.45
Pune,Plastic,3578,39,12547,7,Recycling,2681,11,Pune Landfill,49524,2022,28.7237,84.2278,285.16776918785365,0.07224779904692674,243.72727272727272
Pune,Organic,7921,69,12547,7,Incineration,3569,7,Pune Landfill,49524,2022,28.7237,84.2278,631.3062883557823,0.15994265406671512,509.85714285714283
Pune,E-Waste,9741,75,12547,10,Incineration,4988,1,Pune Landfill,49524,2022,28.7237,84.2278,776.3608830796206,0.1966925127211049,4988.0
Pune,Construction,4804,36,12547,6,Composting,3338,13,Pune Landfill,49524,2022,28.7237,84.2278,382.8803698095162,0.09700347306356515,256.7692307692308
Pune,Hazardous,8508,55,12547,10,Incineration,3321,7,Pune Landfill,49524,2022,28.7237,84.2278,678.0903801705587,0.17179549309425732,474.42857142857144
Pune,Plastic,5594,76,12547,5,Landfill,4656,8,Pune Landfill,49524,2023,28.7237,84.2278,445.8436279588746,0.1129553347871739,582.0
Pune,Organic,3851,83,12547,6,Recycling,3334,12,Pune Landfill,49524,2023,28.7237,84.2278,306.92595839642945,0.07776027784508521,277.8333333333333
Pune,E-Waste,8611,30,12547,9,Incineration,1359,5,Pune Landfill,49524,2023,28.7237,84.2278,686.2995138280066,0.17387529278733543,271.8
Pune,Construction,2012,45,12547,10,Landfill,2368,6,Pune Landfill,49524,2023,28.7237,84.2278,160.3570574639356,0.04062676682012761,394.6666666666667
